stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Gorgo;2017;1;1;0;-3.8;1.7;10.2;36;63;91;3;9;354;-;-
Gorgo;2017;1;2;0;-3.5;2.3;9.4;63;81;91;3;10;10;-;-
Gorgo;2017;1;3;0;-1.9;4.2;9.1;33;56;83;6;24;106;-;-
Gorgo;2017;1;4;0;-2.7;1.2;5.8;53;71;92;4;21;12;-;-
Gorgo;2017;1;5;0.2;-2.6;2.6;7.6;7;33;87;11;59;355;-;-
Gorgo;2017;1;6;0;-6.6;-0.5;4.1;7;15;36;5;24;62;-;-
Gorgo;2017;1;7;0;-8.6;-3.6;2.5;7;26;46;3;14;59;-;-
Gorgo;2017;1;8;0;-6.7;-3;4.3;19;42;56;4;11;0;-;-
Gorgo;2017;1;9;0;-7.3;-1.3;4.6;36;55;67;4;21;48;-;-
Gorgo;2017;1;10;0;-5.4;-0.7;3.2;32;45;59;9;31;56;-;-
Gorgo;2017;1;11;0;-8.6;-3.5;2.3;20;43;65;4;17;357;-;-
Gorgo;2017;1;12;5;-3.2;0.3;3.1;46;65;94;5;15;58;-;-
Gorgo;2017;1;13;29.8;0.4;2.6;4.6;89;95;96;6;33;32;-;-
Gorgo;2017;1;14;0;-1.3;1.6;6.4;68;83;94;4;15;266;-;-
Gorgo;2017;1;15;0;-1.5;1.7;6.5;36;58;84;5;16;67;-;-
Gorgo;2017;1;16;0;-1.7;2;5.1;33;44;61;11;36;55;-;-
Gorgo;2017;1;17;0;1.4;3.9;7.1;18;32;42;15;44;33;-;-
Gorgo;2017;1;18;0;1.7;4;6.8;28;38;48;11;33;6;-;-
Gorgo;2017;1;19;0;1;3.9;7.8;22;37;48;11;31;14;-;-
Gorgo;2017;1;20;0;-3;1.7;6.8;33;47;61;5;22;102;-;-
Gorgo;2017;1;21;0;-3.1;1.6;10.1;27;55;78;3;10;327;-;-
Gorgo;2017;1;22;0;-1.9;3.3;10.8;17;51;66;4;15;76;-;-
Gorgo;2017;1;23;0;-0.8;3.1;8.2;45;56;69;5;15;359;-;-
Gorgo;2017;1;24;0;-1.1;4.1;12.7;29;49;62;8;24;62;-;-
Gorgo;2017;1;25;0;-1.7;2.3;7.3;31;46;57;8;25;52;-;-
Gorgo;2017;1;26;0;-3.4;1;5.8;34;49;65;-;30;93;-;-
Gorgo;2017;1;27;0;-4.5;-0.1;7.1;28;57;81;3;13;1;-;-
Gorgo;2017;1;28;0;-3.5;0.3;6.9;37;72;92;2;14;173;-;-
Gorgo;2017;1;29;0;-4.4;-0.4;6.7;51;81;93;1;10;251;-;-
Gorgo;2017;1;30;0;-4;1.5;6.9;52;79;93;3;11;244;-;-
Gorgo;2017;1;31;15.6;2.6;3.7;4.9;71;87;97;3;11;1;-;-
Gorgo;2017;2;1;12.2;3.6;4.5;5.5;97;98;98;-;7;259;-;-
Gorgo;2017;2;2;1.2;3.9;5.9;7.2;96;99;100;-;-;-;-;-
Gorgo;2017;2;3;6.8;6.4;8;10.9;87;98;100;-;25;193;-;-
Gorgo;2017;2;4;13.6;6.3;7.2;8.3;90;99;100;5;23;15;-;-
Gorgo;2017;2;5;29;6.3;7.1;8.4;88;95;99;8;31;13;-;-
Gorgo;2017;2;6;18.8;7.4;9.2;12.6;61;81;97;10;30;16;-;-
Gorgo;2017;2;7;0;6.4;8.4;11.8;45;68;89;4;20;92;-;-
Gorgo;2017;2;8;0;1.4;6.7;9.9;44;58;76;8;32;55;-;-
Gorgo;2017;2;9;0;0.8;4.5;8.4;42;57;71;10;40;61;-;-
Gorgo;2017;2;10;0.4;4.2;6.2;9.1;48;60;74;6;18;51;-;-
Gorgo;2017;2;11;0.4;4.4;6.2;8.7;62;72;83;5;14;1;-;-
Gorgo;2017;2;12;0.2;2.1;6.2;12.2;52;74;90;4;13;167;-;-
Gorgo;2017;2;13;0;1.7;5.4;9.6;51;68;85;5;21;105;-;-
Gorgo;2017;2;14;0;0;4.6;11.8;29;64;92;4;16;30;-;-
Gorgo;2017;2;15;0;-1.5;4.5;12.8;42;75;96;3;15;197;-;-
Gorgo;2017;2;16;0.2;-0.8;5.6;14.8;26;78;98;3;14;162;-;-
Gorgo;2017;2;17;0.2;2.6;5.4;7.6;88;96;100;5;14;22;-;-
Gorgo;2017;2;18;0;0.5;6.9;13.7;51;80;97;4;18;234;-;-
Gorgo;2017;2;19;0;1.1;6;11;51;81;98;3;16;198;-;-
Gorgo;2017;2;20;0;2;6;12.4;51;82;98;5;22;180;-;-
Gorgo;2017;2;21;0;3.7;6.4;7.8;81;92;99;3;12;202;-;-
Gorgo;2017;2;22;0;6.2;7.1;8.2;83;91;99;3;12;212;-;-
