stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Udine S.O.;2001;1;1;0.0;-2.1;1.9;7.4;38;62;83;7;24;70;6755;1005.1
Udine S.O.;2001;1;2;22.0;-2.6;2.4;7.1;63;81;98;6;17;1;607;1002.9
Udine S.O.;2001;1;3;13.6;4.0;6.5;7.7;95;98;99;5;22;343;1294;1000.8
Udine S.O.;2001;1;4;3.0;4.3;5.9;6.8;94;98;99;4;10;2;1039;1002.2
Udine S.O.;2001;1;5;0.2;0.1;5.2;9.6;76;94;99;4;13;44;4843;1002.4
Udine S.O.;2001;1;6;22.0;6.0;8.8;13.6;94;98;99;6;35;157;320;1000.1
Udine S.O.;2001;1;7;13.4;11.8;12.6;13.6;93;96;98;16;39;161;437;1001.0
Udine S.O.;2001;1;8;53.0;7.1;10.1;13.3;85;95;99;8;30;158;463;995.2
Udine S.O.;2001;1;9;0.2;4.1;7.3;11.6;67;86;98;6;23;262;6670;1002.4
Udine S.O.;2001;1;10;1.4;4.9;7.1;8.7;88;91;96;4;15;45;1784;1008.6
Udine S.O.;2001;1;11;0.2;5.5;7.6;9.6;76;90;97;2;7;17;2472;1009.0
Udine S.O.;2001;1;12;0.0;4.5;7.3;9.3;52;73;93;14;40;52;931;1008.4
Udine S.O.;2001;1;13;0.0;0.2;2.8;6.0;40;52;64;21;41;96;7429;1012.8
Udine S.O.;2001;1;14;0.0;-0.9;1.4;4.9;28;40;45;22;49;73;7649;1015.8
Udine S.O.;2001;1;15;0.0;-1.9;0.9;4.5;32;40;46;17;39;80;7747;1014.9
Udine S.O.;2001;1;16;0.0;-3.8;-0.2;3.5;39;51;65;12;30;56;7412;1014.5
Udine S.O.;2001;1;17;0.4;-5.5;0.4;3.2;51;63;85;5;15;38;2337;1012.8
Udine S.O.;2001;1;18;13.6;1.8;3.9;4.5;75;89;97;9;19;55;818;1010.5
Udine S.O.;2001;1;19;0.0;0.4;4.4;10.5;62;85;97;4;14;55;6234;1012.2
Udine S.O.;2001;1;20;1.4;1.2;5.5;8.6;62;73;93;10;30;46;4573;1011.3
Udine S.O.;2001;1;21;1.0;0.5;3.5;7.2;58;72;85;15;37;55;7300;1012.3
Udine S.O.;2001;1;22;0.0;-0.5;2.7;7.5;60;78;91;3;12;46;3899;1011.0
Udine S.O.;2001;1;23;2.2;2.8;4.8;6.7;84;91;96;3;9;43;1215;1005.5
Udine S.O.;2001;1;24;31.0;4.4;6.7;10.2;88;95;99;4;18;265;494;1004.3
Udine S.O.;2001;1;25;52.2;8.5;9.6;10.5;98;99;99;5;15;92;705;1000.6
Udine S.O.;2001;1;26;0.2;6.4;9.1;10.8;90;98;99;4;14;250;2967;998.9
Udine S.O.;2001;1;27;4.6;5.0;6.5;7.7;89;96;99;6;15;54;1475;994.9
Udine S.O.;2001;1;28;0.2;1.1;6.6;10.7;52;73;98;10;27;85;8030;994.1
Udine S.O.;2001;1;29;0.0;0.6;6.3;9.5;44;65;91;13;32;51;3454;994.7
Udine S.O.;2001;1;30;1.6;4.3;6.9;8.9;56;65;79;5;35;19;2002;997.6
Udine S.O.;2001;1;31;0.0;-1.8;4.1;8.3;45;75;92;4;15;230;5203;1001.0
Udine S.O.;2001;2;1;0.0;-3.0;2.9;8.5;21;45;88;10;36;38;9382;1003.9
Udine S.O.;2001;2;2;0.0;-5.1;0.5;6.2;33;58;81;5;15;206;10310;1006.6
Udine S.O.;2001;2;3;0.0;-3.5;1.4;6.7;38;62;79;5;14;340;7087;1003.4
Udine S.O.;2001;2;4;0.2;0.0;4.1;9.0;47;67;89;5;12;3;6413;1003.5
Udine S.O.;2001;2;5;2.4;3.3;5.7;8.2;82;91;98;3;11;330;2046;1002.7
Udine S.O.;2001;2;6;0.2;4.9;6.8;8.6;83;93;99;3;11;125;2398;1010.4
Udine S.O.;2001;2;7;0.0;5.6;8.0;11.6;76;91;99;3;11;129;5114;1010.8
Udine S.O.;2001;2;8;2.8;8.4;10.9;12.9;85;92;99;7;33;168;3005;1003.6
Udine S.O.;2001;2;9;0.8;4.9;9.7;13.5;70;88;99;5;15;159;5076;1004.1
Udine S.O.;2001;2;10;0.0;2.2;8.6;14.6;51;76;95;6;14;331;5256;1015.9
Udine S.O.;2001;2;11;0.0;0.7;7.7;15.4;47;73;94;5;14;32;11578;1025.5
Udine S.O.;2001;2;12;0.0;2.1;8.9;18.3;20;56;77;5;14;324;11322;1019.9
Udine S.O.;2001;2;13;0.0;1.9;9.9;16.3;29;55;78;6;24;71;7494;1009.6
Udine S.O.;2001;2;14;0.0;5.2;9.7;14.8;31;50;64;10;25;97;11890;1014.8
Udine S.O.;2001;2;15;0.0;-0.6;7.2;14.6;35;59;84;5;16;20;11723;1019.6
Udine S.O.;2001;2;16;0.0;-0.1;6.3;13.2;43;71;87;5;17;170;11338;1017.6
Udine S.O.;2001;2;17;0.0;-0.4;7.4;15.4;37;65;93;5;16;124;10807;1014.8
Udine S.O.;2001;2;18;0.0;-0.1;7.1;13.2;49;68;87;6;18;289;10928;1015.3
Udine S.O.;2001;2;19;0.0;-0.5;5.8;12.5;46;72;90;6;21;206;10829;1015.7
Udine S.O.;2001;2;20;0.0;0.3;5.9;10.4;26;63;87;6;25;0;7999;1010.5
Udine S.O.;2001;2;21;0.0;-1.2;5.2;11.4;49;68;88;6;18;221;7535;1008.1
Udine S.O.;2001;2;22;0.0;-0.6;5.7;12.6;44;74;95;5;15;124;12259;996.5
Udine S.O.;2001;2;23;0.0;1.9;7.0;12.5;55;77;94;8;32;47;9363;986.9
Udine S.O.;2001;2;24;0.0;1.9;4.8;7.8;44;52;62;23;42;78;6926;990.4
Udine S.O.;2001;2;25;0.0;-0.1;3.0;6.8;28;42;57;20;48;83;13267;995.0
Udine S.O.;2001;2;26;0.0;-4.3;2.7;8.4;14;40;71;8;27;48;10127;993.2
Udine S.O.;2001;2;27;0.2;-5.0;1.3;7.3;41;64;87;8;24;180;11060;997.0
Udine S.O.;2001;2;28;2.2;-0.2;1.6;3.8;58;80;90;16;42;66;1805;990.7
Udine S.O.;2001;3;1;0.0;-0.4;3.6;8.6;61;79;96;7;24;155;8992;989.7
Udine S.O.;2001;3;2;9.6;-3.3;3.4;8.0;59;82;96;6;26;351;8565;992.8
Udine S.O.;2001;3;3;24.4;3.9;5.7;7.2;88;96;99;4;14;344;1212;986.5
Udine S.O.;2001;3;4;10.0;6.1;8.4;10.2;94;98;99;4;18;111;1411;991.9
Udine S.O.;2001;3;5;2.0;9.3;11.5;15.3;62;83;99;11;34;51;7757;999.2
Udine S.O.;2001;3;6;0.0;5.0;7.9;11.0;47;58;70;20;38;73;12790;1010.6
Udine S.O.;2001;3;7;0.0;4.3;7.7;11.8;42;53;62;14;32;42;13273;1010.2
Udine S.O.;2001;3;8;8.6;4.3;7.4;9.2;56;73;96;7;23;9;1903;1005.3
Udine S.O.;2001;3;9;18.4;7.3;9.1;12.9;86;95;98;10;30;149;2420;998.8
Udine S.O.;2001;3;10;0.0;6.4;9.2;12.2;76;92;99;4;13;148;6799;1002.7
